A,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
747,60,8795,7,5,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,8,Typ,1,TA,BuiltIn,2000,Fin,2,554,TA,TA,Y,224,54,0,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,236000
748,70,11700,7,7,1880,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,8,Typ,1,Gd,Detchd,1950,Unf,4,864,TA,TA,N,181,0,386,0,0,0,NA,NA,NA,0,5,2009,WD,Normal,265979
749,20,10593,7,5,1996,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,TA,Attchd,1996,Fin,2,527,TA,TA,Y,240,56,154,0,0,0,NA,NA,NA,0,3,2010,WD,Normal,260400
750,50,8405,4,3,1945,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,9,Mod,0,NA,Detchd,1945,Unf,1,240,TA,TA,N,92,0,185,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,98000
751,50,8800,4,7,1910,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Min2,0,NA,NA,NA,NA,0,0,NA,NA,N,0,160,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,96500
752,60,7750,7,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,2003,Fin,2,400,TA,TA,Y,0,48,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,162000
753,20,9236,6,5,1997,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,1997,RFn,2,576,TA,TA,Y,168,27,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,217000
754,60,10240,8,5,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Ex,8,Typ,1,Gd,Attchd,2005,RFn,3,878,TA,TA,Y,192,52,0,0,0,0,NA,NA,NA,0,3,2006,WD,Normal,275500
755,20,7930,6,8,1969,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,5,Typ,0,NA,Detchd,1969,RFn,2,440,TA,TA,Y,171,48,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,156000
756,160,3230,6,5,1999,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Detchd,1999,Unf,2,440,TA,TA,Y,0,24,0,0,0,0,NA,NA,NA,0,3,2009,WD,Normal,172500
757,60,10769,8,5,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2007,RFn,2,578,TA,TA,Y,144,105,0,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,212000
758,60,11616,6,5,1978,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,TA,Attchd,1978,Fin,2,440,TA,TA,Y,335,0,0,0,0,0,NA,GdPrv,NA,0,4,2010,WD,Abnorml,158900
759,160,2280,7,5,1999,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Detchd,1999,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,179400
760,60,12257,8,5,1995,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,9,Typ,1,TA,Attchd,1995,RFn,3,752,TA,TA,Y,222,98,0,0,0,0,NA,NA,NA,0,11,2007,WD,Normal,290000
761,20,9100,6,6,1959,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Detchd,2008,Unf,1,300,Ex,Ex,Y,0,0,0,0,0,0,NA,NA,Shed,450,10,2009,WD,Normal,127500
762,30,6911,5,5,1924,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Fa,5,Min1,0,NA,Detchd,1965,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,100000
763,60,8640,7,5,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2009,Unf,2,614,TA,TA,Y,169,45,0,0,0,0,NA,NA,NA,0,6,2010,Con,Normal,215200
764,60,9430,8,5,1999,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,1,Gd,Attchd,1999,RFn,3,856,TA,TA,Y,0,128,0,0,180,0,NA,NA,NA,0,7,2009,WD,Normal,337000
765,120,9549,8,5,1995,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Ex,6,Typ,1,Gd,Attchd,1995,Fin,2,481,TA,TA,Y,0,30,0,0,216,0,NA,NA,NA,0,4,2006,WD,Normal,270000
766,20,14587,9,5,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Ex,6,Typ,1,Gd,Attchd,2008,Fin,2,592,TA,TA,Y,0,174,0,0,0,0,NA,NA,NA,0,8,2008,New,Partial,264132
767,60,10421,7,5,1988,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,Attchd,1988,Unf,2,496,TA,TA,Y,228,66,156,0,0,0,NA,MnPrv,Shed,500,3,2010,WD,Normal,196500
768,50,12508,6,7,1940,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Mod,0,NA,Attchd,1989,Unf,1,423,TA,TA,Y,245,0,156,0,0,0,NA,NA,Shed,1300,7,2008,WD,Normal,160000
769,20,9100,7,5,2004,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,1,Gd,Attchd,2004,Fin,2,484,TA,TA,Y,120,33,0,0,0,0,NA,NA,NA,0,10,2006,WD,Normal,216837
770,60,53504,8,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Ex,12,Mod,1,Gd,BuiltIn,2003,Fin,3,841,TA,TA,Y,503,36,0,0,210,0,NA,NA,NA,0,6,2010,WD,Normal,538000
771,85,7252,5,5,1982,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Detchd,1983,Unf,2,576,TA,TA,Y,120,0,0,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,134900
772,20,8877,4,5,1951,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,6,Typ,0,NA,Detchd,1951,Unf,2,396,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2006,COD,Normal,102000
773,80,7819,6,5,1976,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,TA,Detchd,1976,Unf,2,672,TA,TA,Y,144,0,0,0,0,0,NA,MnPrv,NA,0,3,2010,WD,Abnorml,107000
774,20,10150,5,5,1958,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Attchd,1958,RFn,1,275,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2007,COD,Normal,114500
775,20,14226,8,5,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,9,Typ,1,Gd,Attchd,2006,Fin,3,895,TA,TA,Y,315,45,0,0,0,0,NA,NA,NA,0,7,2007,New,Partial,395000
776,120,4500,6,5,1998,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Attchd,1998,Fin,2,412,TA,TA,Y,0,247,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,162000
777,20,11210,7,5,2005,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2005,RFn,3,865,TA,TA,Y,144,59,0,0,0,0,NA,NA,NA,0,7,2006,New,Partial,221500
778,20,13350,5,5,1974,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,1,Fa,Attchd,1974,Unf,2,440,TA,TA,Y,241,0,0,0,0,0,NA,MnPrv,NA,0,6,2006,WD,Normal,142500
779,90,8400,5,5,1977,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,TA,10,Typ,2,TA,Detchd,1977,Unf,2,630,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2007,WD,Normal,144000
780,90,10530,6,5,1977,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,0,NA,Attchd,1977,Unf,2,504,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,135000
781,20,7875,7,5,1995,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,TA,Attchd,1995,Fin,2,402,TA,TA,Y,220,21,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,176000
782,60,7153,6,5,1992,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,1992,RFn,2,484,TA,TA,Y,0,124,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,175900
783,20,16285,7,5,2001,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,2001,RFn,2,605,TA,TA,Y,0,33,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,187100
784,85,9101,5,6,1978,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Gd,4,Typ,1,TA,Attchd,1978,Fin,2,602,TA,TA,Y,303,30,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,165500
785,75,6300,6,6,1914,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,9,Typ,1,Gd,NA,NA,NA,0,0,NA,NA,Y,0,291,134,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,128000
786,20,9790,6,5,1967,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,Gd,Attchd,1967,Unf,2,457,TA,TA,Y,0,0,0,0,197,0,NA,NA,NA,0,9,2009,WD,Normal,161500
787,50,10800,5,6,1915,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Typ,0,NA,Detchd,1961,Unf,1,416,TA,TA,Y,0,0,196,0,0,0,NA,NA,Shed,1200,6,2010,WD,Normal,139000
788,60,10142,7,5,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,8,Typ,0,NA,BuiltIn,2004,RFn,2,618,TA,TA,Y,0,45,0,0,0,0,NA,NA,NA,0,1,2010,WD,Normal,233000
789,20,6000,4,7,1954,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,0,NA,Detchd,1954,Unf,1,281,Fa,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,107900
790,60,12205,6,8,1966,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,Gd,9,Typ,0,NA,Attchd,1966,Fin,2,444,TA,TA,Y,133,168,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,187500
791,120,3182,7,5,2005,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,1,Gd,Attchd,2005,Fin,2,397,TA,TA,Y,100,16,0,0,0,0,NA,NA,NA,0,9,2009,WD,Normal,160200
792,80,11333,6,5,1976,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,2,TA,Attchd,1976,RFn,2,539,TA,TA,Y,120,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,146800
793,60,9920,7,5,1996,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,8,Typ,1,TA,Attchd,1997,Unf,2,455,TA,TA,Y,180,130,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,269790
794,20,9158,8,5,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,0,NA,Attchd,2007,Fin,2,474,TA,TA,Y,168,130,0,0,0,0,NA,NA,NA,0,6,2007,New,Partial,225000
795,60,10832,7,5,1994,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,TA,Attchd,1994,Fin,2,409,TA,TA,Y,143,46,0,0,0,0,NA,NA,Shed,500,10,2008,WD,Normal,194500
796,60,8400,6,6,1980,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,Attchd,1980,Unf,2,476,TA,TA,Y,0,50,0,0,204,0,NA,MnPrv,NA,0,4,2010,WD,Normal,171000
797,20,8197,6,5,1977,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,528,TA,TA,Y,138,0,0,0,0,0,NA,MnPrv,NA,0,4,2007,WD,Normal,143500
798,20,7677,5,5,1953,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,0,NA,Attchd,1953,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,110000
799,60,13518,9,5,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Ex,11,Typ,2,Gd,BuiltIn,2009,Fin,3,820,TA,TA,Y,144,78,0,0,0,0,NA,NA,NA,0,7,2009,New,Partial,485000
800,50,7200,5,7,1937,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,2,TA,Detchd,1939,Unf,1,240,TA,TA,Y,0,0,264,0,0,0,NA,MnPrv,NA,0,6,2007,WD,Normal,175000
801,60,12798,6,5,1997,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,8,Typ,0,NA,Attchd,1997,RFn,2,603,TA,TA,Y,403,114,185,0,0,0,NA,NA,Shed,400,5,2008,WD,Normal,200000
802,30,4800,4,7,1916,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Detchd,1957,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,109900
803,60,8199,7,5,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,Attchd,2005,Fin,2,410,TA,TA,Y,36,18,0,0,0,0,NA,NA,NA,0,10,2008,WD,Normal,189000
804,60,13891,9,5,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Ex,12,Typ,1,Gd,BuiltIn,2009,RFn,3,1020,TA,TA,Y,52,170,0,0,192,0,NA,NA,NA,0,1,2009,New,Partial,582933
805,20,9000,5,5,1954,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Min1,0,NA,Attchd,1954,Unf,1,286,TA,TA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,6,2006,WD,Family,118000
806,20,12274,7,5,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Ex,6,Typ,0,NA,Attchd,2008,RFn,2,554,TA,TA,Y,0,60,0,0,0,0,NA,NA,NA,0,7,2008,New,Partial,227680
807,80,9750,5,5,1967,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1967,Fin,1,384,TA,TA,Y,68,0,0,0,0,0,NA,NA,NA,0,10,2006,WD,Normal,135500
808,70,21384,5,6,1923,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,1,TA,Attchd,1923,RFn,2,528,TA,TA,Y,0,312,0,0,0,0,NA,NA,NA,0,5,2009,WD,Normal,223500
809,80,13400,5,5,1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,Gd,Attchd,1966,RFn,2,484,TA,TA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,6,2006,WD,Normal,159950
810,75,8100,5,5,1898,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,TA,11,Typ,0,NA,Detchd,1910,Unf,2,360,Fa,Po,N,40,156,0,0,0,0,NA,MnPrv,NA,0,11,2009,WD,Normal,106000
811,20,10140,6,6,1974,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,5,Typ,1,Fa,Attchd,1974,RFn,2,484,TA,TA,Y,265,0,0,0,0,648,Fa,GdPrv,NA,0,1,2006,WD,Normal,181000
812,120,4438,6,5,2004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Gd,4,Typ,1,Gd,Attchd,2004,Fin,2,420,TA,TA,Y,140,0,0,0,0,0,NA,NA,NA,0,6,2008,ConLD,Normal,144500
813,20,8712,5,5,1952,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Fa,4,Typ,0,NA,Basment,1952,Unf,2,504,TA,TA,N,0,0,0,0,0,0,NA,NA,Shed,54,6,2010,WD,Alloca,55993
814,20,9750,6,6,1958,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Typ,0,NA,Attchd,1958,RFn,1,301,TA,TA,Y,0,0,275,0,0,0,NA,NA,Shed,500,4,2007,COD,Normal,157900
815,50,8248,5,7,1918,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Fa,7,Typ,0,NA,Detchd,1955,Unf,1,280,TA,TA,P,207,0,96,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,116000
816,20,12137,7,5,1998,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,1998,RFn,2,598,TA,TA,Y,0,34,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,224900
817,20,11425,5,6,1954,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,1,Gd,Attchd,1954,RFn,1,275,TA,TA,Y,0,0,120,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,137000
818,20,13265,8,5,2002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,2,Gd,Attchd,2002,RFn,3,857,TA,TA,Y,150,59,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,271000
819,80,8816,6,7,1971,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1971,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,6,2010,WD,Normal,155000
820,120,6371,7,5,2009,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,6,Typ,1,Gd,Attchd,2010,RFn,2,484,TA,TA,Y,192,35,0,0,0,0,NA,NA,NA,0,6,2010,New,Partial,224000
821,60,7226,7,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,2003,RFn,2,595,TA,TA,Y,0,45,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,183000
822,20,6000,4,4,1953,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Min2,0,NA,Detchd,1974,Unf,2,576,TA,TA,Y,0,32,112,0,0,0,NA,NA,NA,0,2,2009,WD,Normal,93000
823,60,12394,7,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,BuiltIn,2003,Fin,2,433,TA,TA,Y,100,48,0,0,0,0,NA,NA,NA,0,10,2007,WD,Family,225000
824,50,9900,6,7,1940,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,Gd,Detchd,1940,Unf,1,240,TA,TA,Y,335,0,0,0,0,0,NA,GdWo,NA,0,7,2009,WD,Normal,139500
825,20,11216,8,5,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,2,776,TA,TA,Y,0,140,0,0,0,0,NA,NA,NA,0,6,2006,New,Partial,232600
826,20,14803,10,5,2007,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Ex,7,Typ,1,Gd,Attchd,2007,Fin,3,1220,TA,TA,Y,188,45,0,0,0,0,NA,NA,NA,0,6,2008,New,Partial,385000
827,45,6130,5,6,1924,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,5,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,0,116,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,109500
828,20,8529,7,5,2001,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,527,TA,TA,Y,290,39,0,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,189000
829,60,28698,5,5,1967,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Min2,0,NA,Attchd,1967,Fin,2,538,TA,TA,Y,486,0,0,0,225,0,NA,NA,NA,0,6,2009,WD,Abnorml,185000
830,160,2544,7,5,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,4,Typ,0,NA,Detchd,2005,RFn,2,480,TA,TA,Y,0,166,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,147400
831,20,11900,6,5,1957,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,2,458,TA,TA,Y,0,0,0,0,192,0,NA,NA,NA,0,6,2008,WD,Normal,166000
832,160,3180,7,5,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,4,Typ,0,NA,Detchd,2005,RFn,2,480,TA,TA,Y,0,166,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,151000
833,60,9548,7,6,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,TA,Attchd,2003,RFn,2,613,TA,TA,Y,192,39,0,0,0,0,NA,NA,NA,0,1,2010,WD,Normal,237000
834,20,10004,6,6,1964,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1964,RFn,2,472,TA,TA,Y,0,0,0,0,152,0,NA,NA,NA,0,2,2009,WD,Normal,167000
835,20,7875,5,6,1961,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1961,Unf,2,456,TA,TA,Y,0,0,0,0,0,0,NA,GdWo,NA,0,9,2008,WD,Normal,139950
836,20,9600,4,7,1950,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,4,Min2,0,NA,Attchd,1996,Unf,2,436,TA,TA,Y,290,0,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal,128000
837,30,8100,5,6,1948,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Min2,0,NA,Detchd,1948,Unf,2,812,TA,TA,Y,0,116,230,0,0,0,NA,GdWo,NA,0,6,2007,COD,Normal,153500
838,160,1680,6,5,1973,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Detchd,1973,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD,Normal,100000
839,20,9525,5,6,1995,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,0,NA,Attchd,1999,Unf,1,352,TA,TA,Y,278,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,144000
840,50,11767,5,6,1946,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Detchd,1946,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,130500
841,70,12155,6,8,1925,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Fa,7,Typ,0,NA,Detchd,1934,Unf,1,400,TA,TA,P,0,0,254,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,140000
842,70,10440,5,8,1904,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,1,Po,Detchd,1983,Unf,2,686,Gd,TA,P,70,78,68,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,157500
843,80,9020,6,7,1966,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,0,NA,Attchd,1966,RFn,2,490,Gd,Gd,Y,0,129,0,0,0,0,NA,GdPrv,NA,0,5,2008,WD,Normal,174900
844,90,8000,5,4,1961,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,TA,10,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,141000
845,50,12665,5,8,1915,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,TA,7,Typ,1,Gd,Detchd,1949,Unf,3,720,TA,TA,Y,418,0,194,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,153900
846,85,16647,5,5,1975,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Min2,2,TA,Basment,1975,Fin,2,611,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,1,2007,WD,Normal,171000
847,60,9317,7,5,1993,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,TA,Attchd,1993,Unf,2,425,TA,TA,Y,234,72,192,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,213000
848,20,15523,5,6,1972,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,1,Fa,Attchd,1972,Unf,1,338,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2009,WD,Normal,133500
849,50,45600,6,8,1908,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,TA,10,Typ,1,Gd,Detchd,1908,Unf,2,360,Fa,TA,Y,486,40,0,0,175,0,NA,NA,NA,0,9,2008,WD,Normal,240000
850,80,9600,6,7,1976,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,1,TA,Attchd,1976,RFn,2,512,TA,TA,Y,113,100,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,187000
851,120,4435,6,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Gd,3,Typ,0,NA,Attchd,2003,Fin,2,420,TA,TA,Y,140,0,0,0,0,0,NA,NA,NA,0,11,2007,WD,Normal,131500
852,120,3196,8,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Gd,7,Typ,1,TA,Attchd,2003,Fin,2,400,TA,TA,Y,143,20,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,215000
